#TIME NO2 PM2.5 PM10 63a7_no2 63a7_pm2_5 63a7_pm10 63a7_pm2_5_db 63a7_pm10_db 63a7_pm2_5_db_corr 63a7_pm10_db_corr 856b_no2 856b_pm2_5 856b_pm10 856b_pm2_5_db 856b_pm10_db 856b_pm2_5_db_corr 856b_pm10_db_corr 63a7_temp 63a7_RH 856b_temp 856b_RH 63a7_a2 856b_a2
1502755200000 17.345 nan 8.439 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502758800000 13.627 nan 8.582 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502762400000 20.258 nan 9.137 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502766000000 35.115 nan 12.585 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502769600000 52.822 nan 23.79 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502773200000 72.618 nan 69.28 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502776800000 82.795 nan 37.907 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502780400000 55.678 nan 34.023 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502784000000 66.683 nan 28.2 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502787600000 74.272 nan 14.652 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502791200000 60.127 nan 14.922 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502794800000 75.718 nan 13.338 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1502798400000 69.638 nan 13.565 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
